seq,wall_ms,guest_wall,guest_id,drift_ms,vf_diff_ms,host_obs_wall,offset_ms,host_vf,guest_vf,seek_count,out_lat_host_raw,out_lat_guest_raw,out_lat_delta_current,out_lat_delta_anchored,raw_offset_ms,win_min_raw_offset_ms,last_rtt_ms,win_min_rtt_ms,event
0,1777712805576,0,host,0.00,0.00,1777712805283,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0,0,host_play
1,1777712805744,1777712806347,192.168.35.43:51598,0.00,0.00,1777712805283,-665.9,0,0,0,0.00,0.00,0.00,0.00,-706.0,-753.0,182,12,guest_start
2,1777712805766,1777712806497,192.168.35.43:51598,-536.48,-536.48,1777712805283,-665.9,0,512,0,0.00,0.00,0.00,0.00,-706.0,-753.0,182,12,fallback
3,1777712806301,1777712807044,192.168.35.43:51598,178.41,178.41,1777712805973,-665.9,18240,44651,0,8.54,23.93,15.39,0.00,-706.0,-753.0,182,12,fallback
4,1777712806800,1777712807545,192.168.35.43:51598,184.03,184.03,1777712805973,-674.4,18240,66667,0,8.54,25.04,16.50,0.00,-751.0,-751.0,9,9,fallback
5,1777712807403,1777712808142,192.168.35.43:51598,-16.42,-16.42,1777712806977,-674.4,62400,83935,0,8.39,22.54,14.16,0.00,-751.0,-751.0,9,9,fallback
6,1777712807905,1777712808644,192.168.35.43:51598,-6.36,-6.36,1777712807482,-682.3,84384,105951,0,8.06,23.74,15.68,0.00,-753.0,-753.0,7,7,fallback
7,1777712808399,1777712809145,192.168.35.43:51598,-19.53,-19.53,1777712807936,-682.3,106464,129598,0,7.82,25.20,17.38,0.00,-753.0,-753.0,7,7,fallback
8,1777712809002,1777712809742,192.168.35.43:51598,0.40,0.40,1777712808443,-689.3,128448,155966,0,8.80,22.74,13.93,0.00,-737.0,-753.0,100,7,fallback
9,1777712809509,1777712810244,192.168.35.43:51598,-1.82,-1.82,1777712808948,-689.3,150624,177982,0,8.32,23.85,15.53,0.00,-737.0,-753.0,100,7,fallback
10,1777712810004,1777712810745,192.168.35.43:51598,7.34,7.34,1777712809452,-695.7,172608,199998,0,8.59,25.05,16.46,0.00,-718.0,-753.0,75,7,fallback
11,1777712810605,1777712811342,192.168.35.43:51598,27.28,27.28,1777712810462,-701.4,216672,226366,0,8.08,22.06,13.98,0.00,-722.0,-753.0,71,7,fallback
12,1777712811103,1777712811844,192.168.35.43:51598,-19.16,-19.16,1777712810966,-701.4,238848,246436,0,8.76,23.43,14.67,0.00,-722.0,-753.0,71,7,fallback
13,1777712811807,1777712812441,192.168.35.43:51598,-15.77,-15.77,1777712810966,-701.4,238848,272804,0,8.76,20.95,12.19,0.00,-722.0,-753.0,71,7,fallback
14,1777712812208,1777712812942,192.168.35.43:51598,-4.29,-4.29,1777712811977,-706.6,283008,294820,0,9.36,23.10,13.73,0.00,-615.0,-753.0,473,7,fallback
15,1777712812703,1777712813444,192.168.35.43:51598,1.74,1.74,1777712812482,-711.2,304992,316836,0,7.71,23.78,16.07,0.00,-751.0,-753.0,13,7,fallback
16,1777712813203,1777712813945,192.168.35.43:51598,-24.91,-24.91,1777712812937,-711.2,326880,339609,0,8.76,25.54,16.78,0.00,-751.0,-753.0,13,7,fallback
17,1777712813809,1777712814542,192.168.35.43:51598,-8.87,-8.87,1777712813442,-715.4,349056,366233,0,8.52,22.30,13.79,0.00,-751.0,-753.0,11,7,fallback
18,1777712814301,1777712815044,192.168.35.43:51598,-10.50,-10.50,1777712813946,-715.4,371136,388249,0,7.63,23.59,15.96,0.00,-751.0,-753.0,11,7,fallback
19,1777712814803,1777712815545,192.168.35.43:51598,-2.70,-2.70,1777712814449,-719.2,393024,410265,0,8.46,25.28,16.82,0.00,-641.0,-753.0,314,7,fallback
20,1777712815466,1777712816207,192.168.35.43:51598,2.61,2.61,1777712814956,-719.2,415200,439449,0,8.22,23.64,15.43,0.00,-641.0,-753.0,314,7,fallback
21,1777712816002,1777712816745,192.168.35.43:51598,-0.59,-0.59,1777712815461,-722.6,437856,463257,0,7.73,22.86,15.13,0.00,-752.0,-753.0,10,7,fallback
22,1777712816610,1777712817342,192.168.35.43:51598,22.78,22.78,1777712815966,-725.5,459264,489625,0,7.44,22.61,15.18,0.00,-752.0,-752.0,7,7,fallback
23,1777712817108,1777712817844,192.168.35.43:51598,26.94,26.94,1777712816975,-725.5,503424,511641,0,8.05,23.94,15.88,0.00,-752.0,-752.0,7,7,fallback
24,1777712817603,1777712818345,192.168.35.43:51598,-14.69,-14.69,1777712817479,-728.1,525408,531598,0,8.01,25.21,17.20,0.00,-751.0,-752.0,13,7,fallback
25,1777712818202,1777712818942,192.168.35.43:51598,-7.49,-7.49,1777712817984,-728.1,547488,557966,0,7.37,22.61,15.24,0.00,-751.0,-752.0,13,7,fallback
26,1777712818706,1777712819444,192.168.35.43:51598,-52.14,-52.14,1777712818438,-730.5,569472,579982,0,9.06,24.06,14.99,0.00,-753.0,-752.0,10,7,fallback
27,1777712819200,1777712819945,192.168.35.43:51598,-22.66,-22.66,1777712818943,-730.5,591648,603380,0,8.20,25.43,17.23,0.00,-753.0,-752.0,10,7,fallback
28,1777712819702,1777712820447,192.168.35.43:51598,-9.17,-9.17,1777712819449,-732.7,613536,625396,0,7.67,20.46,12.79,0.00,-751.0,-752.0,9,7,fallback
29,1777712820304,1777712821044,192.168.35.43:51598,0.55,0.55,1777712819955,-732.7,635616,652020,0,8.02,23.12,15.10,0.00,-751.0,-752.0,9,7,fallback
30,1777712820810,1777712821545,192.168.35.43:51598,0.46,0.46,1777712820458,-734.6,657696,674036,0,7.73,25.40,17.68,0.00,-752.0,-752.0,10,7,fallback
31,1777712821402,1777712822142,192.168.35.43:51598,9.54,9.54,1777712820961,-734.6,679680,700404,0,8.43,22.43,14.01,0.00,-752.0,-752.0,10,7,fallback
32,1777712821900,1777712822644,192.168.35.43:51598,7.32,7.32,1777712820961,-736.4,679680,722420,0,8.43,23.61,15.19,0.00,-752.0,-752.0,9,7,fallback
33,1777712822408,1777712823146,192.168.35.43:51598,18.27,18.27,1777712821972,-736.4,723840,744692,0,8.21,25.13,16.92,0.00,-752.0,-752.0,9,7,fallback
34,1777712823000,1777712823742,192.168.35.43:51598,24.07,24.07,1777712822477,-737.9,745920,770804,0,9.13,22.24,13.11,0.00,-759.0,-752.0,18,7,fallback
35,1777712823503,1777712824244,192.168.35.43:51598,-19.82,-19.82,1777712822982,-739.3,767904,790768,0,7.82,23.42,15.60,0.00,-751.0,-752.0,11,7,fallback
36,1777712824004,1777712824746,192.168.35.43:51598,-21.63,-21.63,1777712823487,-739.3,790080,812528,0,8.95,19.93,10.98,0.00,-751.0,-752.0,11,7,fallback
37,1777712824509,1777712825241,192.168.35.43:51598,0.00,0.00,1777712823942,-740.6,812064,836506,0,0.00,0.00,0.00,0.00,-755.0,-752.0,22,7,anchor_set
38,1777712824609,1777712825342,192.168.35.43:51598,-1.21,-15.55,1777712823942,-740.6,812064,841119,0,7.56,22.55,14.99,13.35,-755.0,-752.0,22,7,drift
39,1777712825101,1777712825844,192.168.35.43:51598,-2.48,-9.57,1777712824951,-740.6,856128,863135,0,7.93,23.98,16.05,13.35,-755.0,-752.0,22,7,drift
40,1777712825604,1777712826345,192.168.35.43:51598,-2.49,0.81,1777712825458,-741.7,878208,885407,0,7.54,24.70,17.17,13.35,-749.0,-752.0,16,7,drift
41,1777712826199,1777712826942,192.168.35.43:51598,-0.46,7.87,1777712825963,-741.7,900288,911775,0,7.05,22.39,15.34,13.35,-749.0,-752.0,16,7,drift
42,1777712826700,1777712827444,192.168.35.43:51598,-0.48,10.09,1777712826468,-742.8,922368,933791,0,8.15,23.85,15.69,13.35,-751.0,-752.0,12,9,drift
43,1777712827202,1777712827945,192.168.35.43:51598,-2.95,9.48,1777712826972,-742.8,944448,955807,0,7.41,25.26,17.85,13.35,-751.0,-752.0,12,9,drift
44,1777712827806,1777712828542,192.168.35.43:51598,2.41,21.19,1777712827477,-743.7,966432,982175,0,8.34,22.81,14.47,13.35,-752.0,-752.0,12,9,drift
45,1777712828300,1777712829044,192.168.35.43:51598,-1.02,26.79,1777712827982,-743.7,988512,1004447,0,7.46,23.69,16.23,13.35,-752.0,-752.0,12,9,drift
